Sarah Dessen
Sarah J Maas
Sarah Waters
Saul Bellow
Seamus Heaney
Sean O'Brien
Sebastian Barry
Sebastian Faulks
Sharon Olds
Shaun Tan
Shere Hite
Shirley Hughes
Shirley Jackson
Shobhaa De
Sidney Sheldon
Siegfried Sassoon
Sigmund Freud
Simon Armitage
Simon Garfield
Simon Gray
Simon Mawer
Simone de Beauvoir
Sir Walter Scott
Siri Hustvedt
Slavoj Zizek
Somerset Maugham
Sophocles
Stendhal
Stephen Crane
Stephen Hawking
Stephen Jay Gould
Stephen Kelman
Stephen King
Stephen R. Covey
Stephenie Meyer
Steven D Levitt and Stephen J Dubner
Steven Erikson
Stewart Brand
Stieg Larsson
Studs Terkel
Sue Grafton
Sue Townsend
Suzanne Collins
Sylvia Plath
T. E. Lawrence
Tahar Ben Jelloun
Tana French
Téa Obreht
Ted Hughes
Tennessee Williams
Terry Brooks
Terry Eagleton
Terry Goodkind
Terry Pratchett
Tess Gerritsen
Tessa Hadley
Thomas Frank
Thomas Hardy
Thomas Harris
Thomas Keneally
Thomas Mann
Thomas Pynchon
Tim O'Brien
Tobias Hill
Tom Clancy
Tom McCarthy
Tom Rob Smith
Tom Robbins
Tom Wolfe
Toni Morrison
Tony Harrison
Tony Judt
Tony Kushner
Truman Capote
TS Eliot
Umberto Eco
Ursula K Le Guin
V. C. Andrews
V. S. Naipaul
Val McDermid
Victor Hugo
Vikram Seth
Viktor Frankl
Virgil
Virginia Woolf
Vladimir Nabokov
VS Naipaul
W. E. B. Griffin
W. H. Auden
Walt Whitman
Walter Mosley
WB Yeats
WG Sebald
WH Auden
Wilbur Smith
Wilkie Collins
Will Self
Willa Cather
William Blake
William Boyd
William Burroughs
William Faulkner
William Gibson
William Golding
William S. Burroughs
William Shakespeare
William Trevor
William Wordsworth
Wole Soyinka
Xinran
Yann Martel
Zadie Smith
Zane Grey
Zora Neale Hurston
